,entry_time,exit_time,entry_price,exit_price,result,pnl,pnl_pct,capital_after,prob_tp,tp_pct,sl_pct,hold
0,2025-01-02 01:00:00,2025-01-02 01:00:00,96984.79,96445.06492857142,LOSE,-7.565048616680734,-0.7565048616680734,9992.434951383319,0.37613627,1.4840129644481956,0.5565048616680733,1
1,2025-01-04 01:00:00,2025-01-04 01:00:00,98220.5,97734.36928571429,LOSE,-6.944124143792994,-0.6949381384596027,9985.490827239526,0.4487896,1.3198350358922744,0.49493813845960277,1
2,2025-01-06 01:00:00,2025-01-06 01:00:00,102235.6,101761.21846428572,LOSE,-6.630447481622311,-0.6640081690861949,9978.860379757904,0.47925174,1.2373551175631865,0.46400816908619485,1
3,2025-01-07 01:00:00,2025-01-07 01:00:00,96954.61,98237.44457142857,WIN,11.2075475791038,1.123129009985778,9990.067927337008,0.43557382,1.323129009985778,0.49617337874466666,1
4,2025-01-08 01:00:00,2025-01-08 01:00:00,95060.61,96424.31942857143,WIN,12.333421721520967,1.2345683544124422,10002.40134905853,0.4984963,1.4345683544124421,0.5379631329046658,1
5,2025-01-10 01:00:00,2025-01-10 01:00:00,94726.11,94225.43860714286,LOSE,-7.287212951381024,-0.728546345729961,9995.114136107148,0.3952114,1.409456921946563,0.5285463457299611,1
6,2025-01-11 01:00:00,2025-01-11 01:00:00,94599.99,94103.38060714286,LOSE,-7.246029262074139,-0.7249571303941398,9987.868106845073,0.35308543,1.3998856810510398,0.5249571303941398,1
7,2025-01-12 01:00:00,2025-01-12 01:00:00,94545.06,94054.78885714286,LOSE,-7.176864333595912,-0.7185581804666932,9980.691242511477,0.45094946,1.3828218145778486,0.5185581804666931,1
8,2025-01-13 01:00:00,2025-01-13 01:00:00,94536.1,95934.61142857143,WIN,12.768709008466296,1.2793411496469917,9993.459951519942,0.39607713,1.4793411496469917,0.5547529311176218,1
9,2025-01-14 01:00:00,2025-01-14 01:00:00,96560.86,96049.18417857144,LOSE,-7.294224600108317,-0.729899818030382,9986.165726919835,0.40388197,1.4130661814143517,0.5298998180303819,1
10,2025-01-19 01:00:00,2025-01-19 01:00:00,101331.57,103030.29114285714,WIN,14.743562301083603,1.4763987204157039,10000.90928922092,0.53659606,1.6763987204157038,0.6286495201558888,1
11,2025-01-20 01:00:00,2025-01-20 01:00:00,102260.01,104115.24542857142,WIN,16.14380349018361,1.6142335684999727,10017.053092711103,0.72607845,1.8142335684999726,0.6803375881874897,1
12,2025-01-21 01:00:00,2025-01-21 01:00:00,106143.82,105441.90100000001,LOSE,-8.62759268564955,-0.8612905018869679,10008.425500025454,0.72308344,1.763441338365248,0.6612905018869679,1
13,2025-01-22 01:00:00,2025-01-22 01:00:00,103706.66,105529.518,WIN,15.590182664442638,1.5577058214004778,10024.015682689896,0.6070558,1.7577058214004777,0.6591396830251791,1
14,2025-01-23 01:00:00,2025-01-23 01:00:00,103910.34,105773.45714285714,WIN,15.968302772545174,1.5930045680315772,10039.983985462442,0.5956178,1.7930045680315772,0.6723767130118414,1
15,2025-01-24 01:00:00,2025-01-24 01:00:00,104870.5,106754.76057142856,WIN,16.0313431141134,1.59674986905619,10056.015328576555,0.58028233,1.79674986905619,0.6737812008960712,1
16,2025-01-25 01:00:00,2025-01-26 01:00:00,104746.85,104040.6677857143,LOSE,-8.790766529079868,-0.8741799054441393,10047.224562047475,0.5259221,1.7978130811843718,0.6741799054441393,2
17,2025-01-26 01:00:00,2025-01-26 01:00:00,102620.0,104538.59971428572,WIN,16.775004682317363,1.6696157808280205,10063.999566729792,0.60610986,1.8696157808280205,0.7011059178105077,1
18,2025-01-27 01:00:00,2025-01-27 01:00:00,102082.83,101376.22382142858,LOSE,-8.97899028541093,-0.8921890572307103,10055.02057644438,0.65378135,1.8458374859485607,0.6921890572307102,1
19,2025-01-28 01:00:00,2025-01-28 01:00:00,101335.52,103234.16142857143,WIN,16.828272213066153,1.673618873788213,10071.848848657446,0.7493603,1.873618873788213,0.7026070776705797,1
20,2025-01-29 01:00:00,2025-01-29 01:00:00,103733.24,103029.04164285715,LOSE,-8.851695406736322,-0.8788550681949752,10062.99715325071,0.43503556,1.810280181853267,0.6788550681949751,1
21,2025-01-30 01:00:00,2025-01-30 01:00:00,104722.94,104022.51982142858,LOSE,-8.743050526698097,-0.8688316605429802,10054.254102724011,0.5713642,1.7835510947812805,0.6688316605429802,1
