,entry_time,exit_time,entry_price,exit_price,result,pnl,pnl_pct,capital_after,prob_tp,tp_pct,sl_pct,hold
0,2025-01-02 01:00:00,2025-01-02 01:00:00,208.31,206.29175,LOSE,-11.688685132734866,-1.1688685132734866,9988.311314867266,0.394085,3.5,0.9688685132734867,1
1,2025-01-04 01:00:00,2025-01-04 01:00:00,216.67,214.96664285714286,LOSE,-9.85000057619632,-0.9861527405072894,9978.46131429107,0.45380768,3.1446109620291574,0.7861527405072893,1
2,2025-01-05 01:00:00,2025-01-05 01:00:00,213.41,211.74307142857143,LOSE,-9.789789195376132,-0.9810920628970397,9968.671525095693,0.50245124,3.1243682515881583,0.7810920628970396,1
3,2025-01-06 01:00:00,2025-01-06 01:00:00,218.22,216.6107142857143,LOSE,-9.345233102445265,-0.9374602301740056,9959.326291993248,0.6738846,2.9498409206960226,0.7374602301740056,1
4,2025-01-07 01:00:00,2025-01-07 01:00:00,202.17,208.79742857142858,WIN,30.656264345269474,3.0781463973035437,9989.982556338517,0.5733031,3.278146397303544,0.819536599325886,1
5,2025-01-08 01:00:00,2025-01-08 01:00:00,197.48,195.73646428571428,LOSE,-10.818075188636305,-1.0828923001244255,9979.16448114988,0.6260813,3.5,0.8828923001244254,1
6,2025-01-09 01:00:00,2025-01-09 01:00:00,184.95,191.42324999999997,WIN,32.93124278779461,3.3,10012.095723937675,0.59846026,3.5,0.9652415710809874,1
7,2025-01-10 01:00:00,2025-01-10 01:00:00,187.68,185.9177142857143,LOSE,-11.40361973321276,-1.1389842893679216,10000.692104204461,0.5139585,3.5,0.9389842893679216,1
8,2025-01-11 01:00:00,2025-01-11 01:00:00,188.09,186.37464285714287,LOSE,-11.120643835515871,-1.1119874224345494,9989.571460368945,0.35180008,3.5,0.9119874224345494,1
9,2025-01-14 01:00:00,2025-01-14 01:00:00,187.57,185.78799999999998,LOSE,-11.48845987099231,-1.1500453164152056,9978.083000497953,0.37835485,3.5,0.9500453164152056,1
10,2025-01-15 01:00:00,2025-01-15 01:00:00,205.86,203.94010714285716,LOSE,-11.301382791022837,-1.1326206437107051,9966.781617706929,0.73707384,3.5,0.9326206437107051,1
11,2025-01-16 01:00:00,2025-01-16 01:00:00,211.14,209.20274999999998,LOSE,-11.138069636463028,-1.1175191815856782,9955.643548070466,0.432683,3.5,0.9175191815856782,1
12,2025-01-17 01:00:00,2025-01-17 01:00:00,219.51,217.59342857142857,LOSE,-10.683535423327976,-1.0731134930396926,9944.960012647138,0.42123836,3.4924539721587706,0.8731134930396927,1
13,2025-01-18 01:00:00,2025-01-18 01:00:00,261.97,259.5312142857143,LOSE,-11.247161414288989,-1.1309408383729873,9933.712851232849,0.67706335,3.5,0.9309408383729874,1
14,2025-01-19 01:00:00,2025-01-19 01:00:00,252.42,261.25469999999996,WIN,32.7812524090684,3.3,9966.494103641917,0.68999994,3.5,1.1850147712995351,1
15,2025-01-20 01:00:00,2025-01-20 01:00:00,242.19,250.66664999999998,WIN,32.889430542018324,3.3,9999.383534183935,0.7062527,3.5,1.3776521385217042,1
