entry_date,entry_price,prob_tp,tp_pct,sl_pct,atr_pct,exit_type,exit_price,exit_time,pnl_pct,duration_minutes
2025-08-05 02:00:00,164.09,0.7264029,0.015,0.01,0.06559553555104776,sl,162.44910000000002,2025-08-06 02:00:00,-0.01,0.0
2025-08-19 02:00:00,176.22,0.7106925,0.015,0.01,0.0645256740762359,tp,178.86329999999998,2025-08-20 02:00:00,0.015,0.0
2025-09-04 02:00:00,202.32,0.7268518,0.015,0.01,0.06945150539456589,tp,205.35479999999998,2025-09-05 07:00:00,0.015,300.0
2025-09-23 02:00:00,213.3,0.67248565,0.015,0.01,0.05284307815953384,sl,211.167,2025-09-24 03:15:00,-0.01,75.0
2025-10-01 02:00:00,222.04,0.6453679,0.015,0.01,0.054382093316519546,tp,225.37059999999997,2025-10-02 05:15:00,0.015,195.0
2025-10-02 02:00:00,234.74,0.63687366,0.015,0.01,0.05282135858518239,sl,232.39260000000002,2025-10-03 02:00:00,-0.01,0.0
2025-10-04 02:00:00,227.86,0.6742945,0.015,0.01,0.055071409762887,tp,231.2779,2025-10-05 02:30:00,0.015,30.0
2025-10-07 02:00:00,219.97,0.6140406,0.015,0.01,0.056458997655524465,sl,217.7703,2025-10-08 04:00:00,-0.01,120.0
2025-10-10 02:00:00,188.43,0.7855666,0.015,0.01,0.07871054806256209,sl,186.5457,2025-10-11 02:00:00,-0.01,0.0
2025-10-11 02:00:00,177.62,0.6888219,0.015,0.01,0.08869657535348337,sl,175.84380000000002,2025-10-12 02:00:00,-0.01,0.0
2025-10-15 02:00:00,193.84,0.7014106,0.015,0.01,0.09356391132598316,sl,191.9016,2025-10-16 05:45:00,-0.01,225.0
2025-10-16 02:00:00,184.85,0.76791763,0.015,0.01,0.09846980176977473,sl,183.0015,2025-10-17 06:30:00,-0.01,270.0
2025-10-18 02:00:00,187.56,0.65963763,0.015,0.01,0.09710416476251409,sl,185.6844,2025-10-19 02:00:00,-0.01,0.0
2025-10-19 02:00:00,187.86,0.6471536,0.015,0.01,0.09631412450000758,sl,185.9814,2025-10-20 02:00:00,-0.01,0.0
2025-10-20 02:00:00,189.71,0.7610344,0.015,0.01,0.09554056191028411,sl,187.8129,2025-10-21 02:00:00,-0.01,0.0
2025-10-21 02:00:00,185.63,0.6632678,0.015,0.01,0.09744037678638767,sl,183.7737,2025-10-22 05:15:00,-0.01,195.0
2025-10-22 02:00:00,180.12,0.67511475,0.015,0.01,0.09962406015037595,tp,182.8218,2025-10-23 03:15:00,0.015,75.0
2025-11-03 01:00:00,166.06,0.6285899,0.015,0.01,0.06804769360472118,sl,164.3994,2025-11-04 05:15:00,-0.01,255.0
2025-11-04 01:00:00,155.03,0.82140917,0.015,0.01,0.07638152984215035,sl,153.4797,2025-11-05 01:00:00,-0.01,0.0
2025-11-07 01:00:00,161.79,0.7086517,0.015,0.01,0.07692069967241487,tp,164.21684999999997,2025-11-08 02:30:00,0.015,90.0
2025-11-08 01:00:00,158.02,0.7105312,0.015,0.01,0.08102952609977036,sl,156.43980000000002,2025-11-09 02:30:00,-0.01,90.0
2025-11-09 01:00:00,164.53,0.72099847,0.015,0.01,0.07822715787828532,tp,166.99794999999997,2025-11-10 01:00:00,0.015,0.0
2025-11-10 01:00:00,167.31,0.6500966,0.015,0.01,0.07653030729953805,tp,169.81965,2025-11-11 01:15:00,0.015,15.0
2025-11-11 01:00:00,154.63,0.64351255,0.015,0.01,0.08476455317301204,tp,156.94944999999998,2025-11-12 08:30:00,0.015,450.0
2025-11-14 01:00:00,138.92,0.695076,0.015,0.01,0.09311114310394472,tp,141.00379999999998,2025-11-15 01:00:00,0.015,0.0
2025-11-15 01:00:00,139.61,0.77796006,0.015,0.01,0.09383793629191518,sl,138.21390000000002,2025-11-16 01:30:00,-0.01,30.0
2025-11-16 01:00:00,137.17,0.91026956,0.015,0.01,0.09687145252502107,tp,139.22754999999998,2025-11-17 01:00:00,0.015,0.0
2025-11-17 01:00:00,130.99,0.9427207,0.015,0.01,0.09515993587296738,tp,132.95485,2025-11-18 02:15:00,0.015,75.0
2025-11-18 01:00:00,140.69,0.9090438,0.015,0.01,0.08382665028482071,tp,142.80034999999998,2025-11-19 02:45:00,0.015,105.0
2025-11-19 01:00:00,137.06,0.71329755,0.015,0.01,0.08376936065539595,tp,139.11589999999998,2025-11-20 01:00:00,0.015,0.0
2025-11-20 01:00:00,133.67,0.9153403,0.015,0.01,0.08815419636845534,sl,132.33329999999998,2025-11-21 02:30:00,-0.01,90.0
2025-11-21 01:00:00,128.68,0.9366432,0.015,0.01,0.09087326257826721,sl,127.39320000000001,2025-11-22 02:45:00,-0.01,105.0
2025-11-22 01:00:00,127.59,0.8529918,0.015,0.01,0.08928151556884213,tp,129.50385,2025-11-23 01:30:00,0.015,30.0
2025-11-23 01:00:00,130.58,0.7499052,0.015,0.01,0.08423954663807627,tp,132.5387,2025-11-24 02:00:00,0.015,60.0
2025-11-24 01:00:00,138.44,0.8219021,0.015,0.01,0.08171152020473027,sl,137.0556,2025-11-25 07:15:00,-0.01,375.0
2025-11-25 01:00:00,138.96,0.78837186,0.015,0.01,0.07593654905831072,sl,137.5704,2025-11-26 09:00:00,-0.01,480.0
2025-11-26 01:00:00,143.02,0.6463274,0.015,0.01,0.07343628263779292,sl,141.5898,2025-11-27 10:00:00,-0.01,540.0
2025-11-28 01:00:00,137.33,0.61830354,0.015,0.01,0.06884875846501128,sl,135.9567,2025-11-29 18:00:00,-0.01,1020.0
2025-12-01 01:00:00,126.66,0.6444589,0.015,0.01,0.06979878640229185,tp,128.55989999999997,2025-12-02 10:45:00,0.015,585.0
2025-12-05 01:00:00,133.29,0.6642958,0.015,0.01,0.06083405678274012,sl,131.9571,2025-12-06 08:45:00,-0.01,465.0
2025-12-07 01:00:00,132.24,0.7098285,0.015,0.01,0.0616735805029816,tp,134.2236,2025-12-08 01:30:00,0.015,30.0
2025-12-15 01:00:00,127.81,0.6662721,0.015,0.01,0.06755004638581825,sl,126.53190000000001,2025-12-16 01:00:00,-0.01,0.0
2025-12-16 01:00:00,129.15,0.7238932,0.015,0.01,0.06153973784635806,sl,127.8585,2025-12-17 04:15:00,-0.01,195.0
2025-12-17 01:00:00,123.27,0.60899407,0.015,0.01,0.06697261528120618,tp,125.11904999999999,2025-12-18 13:30:00,0.015,750.0
2025-12-18 01:00:00,119.6,0.7060541,0.015,0.01,0.07085523172479696,sl,118.404,2025-12-19 01:00:00,-0.01,0.0
2026-01-06 01:00:00,141.08,0.6845661,0.015,0.01,0.03690914982380816,sl,139.66920000000002,2026-01-07 01:15:00,-0.01,15.0
2026-01-20 01:00:00,125.8,0.7855158,0.015,0.01,0.04941517147399502,tp,127.68699999999998,2026-01-21 01:00:00,0.015,0.0
2026-01-30 01:00:00,117.59,0.63479894,0.015,0.01,0.05225784505485157,sl,116.4141,2026-01-31 08:15:00,-0.01,435.0
2026-01-31 01:00:00,105.58,0.7893492,0.015,0.01,0.07226070954996883,sl,104.5242,2026-02-01 01:15:00,-0.01,15.0
2026-02-01 01:00:00,100.79,0.6654392,0.015,0.01,0.07740280356611337,tp,102.30185,2026-02-02 01:00:00,0.015,0.0
2026-02-02 01:00:00,104.55,0.8888791,0.015,0.01,0.07619047619047616,sl,103.5045,2026-02-03 02:00:00,-0.01,60.0
2026-02-03 01:00:00,97.89,0.9248496,0.015,0.01,0.08028691096420176,tp,99.35834999999999,2026-02-04 01:00:00,0.015,0.0
2026-02-04 01:00:00,92.12,0.9353692,0.015,0.01,0.08799857328949814,sl,91.1988,2026-02-05 01:15:00,-0.01,15.0
2026-02-14 01:00:00,88.06,0.7593014,0.015,0.01,0.09765257454333087,tp,89.3809,2026-02-15 04:00:00,0.015,180.0
2026-02-15 01:00:00,86.16,0.7672453,0.015,0.01,0.09789925719591461,sl,85.2984,2026-02-16 02:45:00,-0.01,105.0
2026-02-16 01:00:00,86.45,0.6730885,0.015,0.01,0.09278691233578454,sl,85.5855,2026-02-17 05:30:00,-0.01,270.0
