entry_date,entry_price,prob_tp,tp_pct,sl_pct,atr_pct,exit_type,exit_price,exit_time,pnl_pct,duration_minutes
2025-08-01 02:00:00,3488.2,0.64219433,0.015,0.01,0.053469656884025336,sl,3453.3179999999998,2025-08-02 15:45:00,-0.01,825.0
2025-08-02 02:00:00,3393.94,0.6510048,0.015,0.01,0.05638347845192987,tp,3444.8491,2025-08-03 02:45:00,0.015,45.0
2025-08-13 02:00:00,4749.3,0.60011065,0.015,0.01,0.04798120625295156,sl,4701.807,2025-08-14 10:30:00,-0.01,510.0
2025-08-14 02:00:00,4546.84,0.7813887,0.015,0.01,0.05235362832837122,tp,4615.0426,2025-08-15 02:00:00,0.015,0.0
2025-08-15 02:00:00,4439.47,0.6931826,0.015,0.01,0.053819326566974364,sl,4395.0753,2025-08-16 09:45:00,-0.01,465.0
2025-08-16 02:00:00,4421.99,0.66683584,0.015,0.01,0.05319986832043621,tp,4488.319849999999,2025-08-17 04:45:00,0.015,165.0
2025-08-17 02:00:00,4472.33,0.71449554,0.015,0.01,0.05283279952188553,sl,4427.6067,2025-08-18 02:00:00,-0.01,0.0
2025-08-18 02:00:00,4312.99,0.6692678,0.015,0.01,0.054950609338632515,sl,4269.8601,2025-08-19 03:00:00,-0.01,60.0
2025-08-19 02:00:00,4075.59,0.7458188,0.015,0.01,0.06010418123510953,tp,4136.723849999999,2025-08-20 02:15:00,0.015,15.0
2025-08-20 02:00:00,4336.16,0.66670686,0.015,0.01,0.05951661641373277,sl,4292.7984,2025-08-21 02:15:00,-0.01,15.0
2025-08-21 02:00:00,4225.3,0.653727,0.015,0.01,0.05864249706698767,tp,4288.6795,2025-08-22 02:15:00,0.015,15.0
2025-08-22 02:00:00,4832.07,0.65134394,0.015,0.01,0.05851012092126151,sl,4783.7492999999995,2025-08-23 02:00:00,-0.01,0.0
2025-08-25 02:00:00,4376.18,0.7089513,0.015,0.01,0.06759564603963145,tp,4441.8227,2025-08-26 02:00:00,0.015,0.0
2025-08-26 02:00:00,4600.63,0.65312356,0.015,0.01,0.06277261406124193,sl,4554.6237,2025-08-27 02:00:00,-0.01,0.0
2025-09-02 02:00:00,4326.5,0.6202869,0.015,0.01,0.061105149328886776,tp,4391.397499999999,2025-09-03 13:15:00,0.015,675.0
2025-09-04 02:00:00,4297.55,0.67812777,0.015,0.01,0.06101931831591756,tp,4362.01325,2025-09-05 07:00:00,0.015,300.0
2025-09-05 02:00:00,4307.45,0.671709,0.015,0.01,0.05347943678974803,sl,4264.3755,2025-09-06 15:45:00,-0.01,825.0
2025-09-08 02:00:00,4306.37,0.6013089,0.015,0.01,0.0432352869951126,tp,4370.96555,2025-09-09 06:30:00,0.015,270.0
2025-09-12 02:00:00,4712.16,0.629123,0.015,0.01,0.03576794627395627,sl,4665.0383999999995,2025-09-13 13:45:00,-0.01,705.0
2025-09-23 02:00:00,4164.26,0.60786283,0.015,0.01,0.039282746857441986,sl,4122.6174,2025-09-24 04:00:00,-0.01,120.0
2025-09-25 02:00:00,3874.36,0.6275948,0.015,0.01,0.04532785507062547,tp,3932.4754,2025-09-26 02:00:00,0.015,0.0
2025-09-26 02:00:00,4032.24,0.64385444,0.015,0.01,0.041834067416622024,sl,3991.9175999999998,2025-09-27 08:00:00,-0.01,360.0
2025-09-27 02:00:00,4018.38,0.62636423,0.015,0.01,0.04023049800452635,sl,3978.1962,2025-09-28 12:30:00,-0.01,630.0
2025-09-28 02:00:00,4142.16,0.7214459,0.015,0.01,0.04012175152232516,sl,4100.7384,2025-09-29 06:00:00,-0.01,240.0
2025-09-30 02:00:00,4145.15,0.717146,0.015,0.01,0.039885683957671725,tp,4207.327249999999,2025-10-01 08:30:00,0.015,390.0
2025-10-10 02:00:00,3829.72,0.7885497,0.015,0.01,0.06165519747060959,sl,3791.4228,2025-10-11 02:00:00,-0.01,0.0
2025-10-11 02:00:00,3746.79,0.8729091,0.015,0.01,0.06624051140156928,sl,3709.3221,2025-10-12 02:00:00,-0.01,0.0
2025-10-14 02:00:00,4125.02,0.7814803,0.015,0.01,0.07128225179167964,sl,4083.7698000000005,2025-10-15 03:15:00,-0.01,75.0
2025-10-15 02:00:00,3985.61,0.76554906,0.015,0.01,0.07482364233902897,tp,4045.3941499999996,2025-10-16 06:45:00,0.015,285.0
2025-10-16 02:00:00,3894.51,0.77598864,0.015,0.01,0.07797588326717796,sl,3855.5649000000003,2025-10-17 06:30:00,-0.01,270.0
2025-10-17 02:00:00,3831.57,0.80868995,0.015,0.01,0.08135139679780652,tp,3889.04355,2025-10-18 07:00:00,0.015,300.0
2025-10-18 02:00:00,3889.21,0.6452977,0.015,0.01,0.08071011116102536,tp,3947.5481499999996,2025-10-19 08:15:00,0.015,375.0
2025-10-19 02:00:00,3982.58,0.63715243,0.015,0.01,0.07976451733011551,sl,3942.7542,2025-10-20 02:00:00,-0.01,0.0
