entry_date,entry_price,prob_tp,exit_type,exit_price,exit_time,pnl_pct,duration_minutes
2023-01-04 01:00:00,13.43,0.67831004,sl,13.2957,2023-01-05 01:00:00,-0.01,0.0
2023-01-06 01:00:00,13.5,0.7691255,sl,13.365,2023-01-07 01:00:00,-0.01,0.0
2023-01-07 01:00:00,13.1,0.72177976,sl,12.969,2023-01-08 01:00:00,-0.01,0.0
2023-01-08 01:00:00,14.45,0.6266661,tp,14.738999999999999,2023-01-09 01:00:00,0.02,0.0
2023-01-09 01:00:00,16.25,0.8361422,tp,16.575,2023-01-10 01:00:00,0.02,0.0
2023-01-10 01:00:00,16.2,0.75100005,sl,16.038,2023-01-11 01:15:00,-0.01,15.0
2023-01-11 01:00:00,16.36,0.727924,tp,16.6872,2023-01-12 01:00:00,0.02,0.0
2023-01-12 01:00:00,16.59,0.93127507,sl,16.4241,2023-01-13 01:00:00,-0.01,0.0
2023-01-13 01:00:00,18.29,0.9019707,tp,18.6558,2023-01-14 01:00:00,0.02,0.0
2023-01-14 01:00:00,24.24,0.8966559,sl,23.9976,2023-01-15 01:00:00,-0.01,0.0
2023-01-15 01:00:00,22.89,0.8720077,tp,23.3478,2023-01-16 01:00:00,0.02,0.0
2023-01-16 01:00:00,23.58,0.8460166,sl,23.344199999999997,2023-01-17 01:00:00,-0.01,0.0
2023-01-17 01:00:00,22.86,0.79443294,tp,23.3172,2023-01-18 03:15:00,0.02,135.0
2023-01-18 01:00:00,20.79,0.9340629,tp,21.2058,2023-01-19 01:15:00,0.02,15.0
2023-01-19 01:00:00,21.4,0.6798088,sl,21.186,2023-01-20 01:00:00,-0.01,0.0
2023-01-20 01:00:00,25.51,0.9120919,sl,25.254900000000003,2023-01-21 01:00:00,-0.01,0.0
2023-01-21 01:00:00,24.57,0.94725084,tp,25.0614,2023-01-22 01:30:00,0.02,30.0
2023-01-22 01:00:00,24.21,0.80873144,tp,24.694200000000002,2023-01-23 02:00:00,0.02,60.0
2023-01-23 01:00:00,24.33,0.7548781,tp,24.816599999999998,2023-01-24 02:00:00,0.02,60.0
2023-01-24 01:00:00,22.78,0.7658296,sl,22.552200000000003,2023-01-25 01:15:00,-0.01,15.0
2023-01-25 01:00:00,24.52,0.7905212,tp,25.0104,2023-01-26 01:15:00,0.02,15.0
2023-01-26 01:00:00,24.33,0.6511167,sl,24.086699999999997,2023-01-27 01:00:00,-0.01,0.0
2023-01-28 01:00:00,24.0,0.6942928,tp,24.48,2023-01-29 01:00:00,0.02,0.0
2023-01-29 01:00:00,26.07,0.6071161,sl,25.8093,2023-01-30 01:15:00,-0.01,15.0
2023-01-30 01:00:00,23.96,0.8417757,sl,23.7204,2023-01-31 05:45:00,-0.01,285.0
2023-01-31 01:00:00,23.92,0.7154967,sl,23.6808,2023-02-01 06:15:00,-0.01,315.0
2023-02-01 01:00:00,25.0,0.62070376,tp,25.5,2023-02-02 01:00:00,0.02,0.0
2023-02-02 01:00:00,24.32,0.73002285,sl,24.0768,2023-02-03 02:30:00,-0.01,90.0
2023-02-05 01:00:00,23.47,0.71938163,sl,23.2353,2023-02-06 05:00:00,-0.01,240.0
2023-02-06 01:00:00,22.66,0.68232435,tp,23.1132,2023-02-07 03:15:00,0.02,135.0
2023-02-10 01:00:00,20.11,0.7071003,tp,20.5122,2023-02-11 13:45:00,0.02,765.0
2023-02-12 01:00:00,21.49,0.7059952,sl,21.2751,2023-02-13 01:00:00,-0.01,0.0
2023-02-18 01:00:00,23.45,0.6076691,sl,23.2155,2023-02-19 01:45:00,-0.01,45.0
2023-02-19 01:00:00,24.84,0.71751237,sl,24.5916,2023-02-20 01:00:00,-0.01,0.0
2023-02-20 01:00:00,26.26,0.8541573,sl,25.997400000000003,2023-02-21 01:45:00,-0.01,45.0
2023-02-21 01:00:00,24.98,0.6397998,sl,24.7302,2023-02-22 01:45:00,-0.01,45.0
2023-02-22 01:00:00,24.16,0.61907804,tp,24.6432,2023-02-23 03:00:00,0.02,120.0
