,entry_time,exit_time,entry_price,exit_price,result,pnl,pnl_pct,capital_before,capital_after,prob_tp,hold_periods
0,2025-01-01 01:00:00,2025-01-01 01:00:00,194.28,192.8229,LOSE,-9.499999999999984,-0.9499999999999984,10000.0,9990.5,0.7093707,1
1,2025-01-02 01:00:00,2025-01-02 01:00:00,208.31,206.74767500000002,LOSE,-9.490974999999938,-0.9499999999999937,9990.5,9981.009025,0.8445815,1
2,2025-01-03 01:00:00,2025-01-03 01:00:00,217.99,216.35507500000003,LOSE,-9.481958573749912,-0.9499999999999913,9981.009025,9971.52706642625,0.65214807,1
3,2025-01-04 01:00:00,2025-01-04 01:00:00,216.67,215.044975,LOSE,-9.472950713104908,-0.9499999999999971,9971.52706642625,9962.054115713145,0.6147073,1
4,2025-01-05 01:00:00,2025-01-05 01:00:00,213.41,216.61114999999998,WIN,12.950670350427014,1.2999999999999927,9962.054115713145,9975.004786063571,0.9165462,1
5,2025-01-06 01:00:00,2025-01-06 01:00:00,218.22,221.49329999999998,WIN,12.967506221882543,1.2999999999999898,9975.004786063571,9987.972292285454,0.909449,1
6,2025-01-07 01:00:00,2025-01-07 01:00:00,202.17,205.20254999999997,WIN,12.984363979971025,1.2999999999999934,9987.972292285454,10000.956656265425,0.7934654,1
7,2025-01-08 01:00:00,2025-01-08 01:00:00,197.48,200.44219999999996,WIN,13.00124365314489,1.2999999999999836,10000.956656265425,10013.95789991857,0.81099933,1
8,2025-01-09 01:00:00,2025-01-09 01:00:00,184.95,187.72424999999998,WIN,13.018145269894116,1.2999999999999974,10013.95789991857,10026.976045188465,0.7191865,1
9,2025-01-10 01:00:00,2025-01-10 01:00:00,187.68,190.49519999999998,WIN,13.035068858744875,1.2999999999999872,10026.976045188465,10040.011114047209,0.7844486,1
10,2025-01-12 01:00:00,2025-01-12 01:00:00,188.51,187.096175,LOSE,-9.538010558344865,-0.9500000000000015,10040.011114047209,10030.473103488865,0.6678984,1
11,2025-01-14 01:00:00,2025-01-14 01:00:00,187.57,186.163225,LOSE,-9.528949448314327,-0.9499999999999904,10030.473103488865,10020.94415404055,0.6425354,1
12,2025-01-15 01:00:00,2025-01-15 01:00:00,205.86,204.31605000000002,LOSE,-9.5198969463385,-0.9499999999999977,10020.94415404055,10011.424257094211,0.8904085,1
13,2025-01-16 01:00:00,2025-01-16 01:00:00,211.14,214.30709999999996,WIN,13.014851534222368,1.2999999999999892,10011.424257094211,10024.439108628434,0.7166531,1
14,2025-01-17 01:00:00,2025-01-17 01:00:00,219.51,217.863675,LOSE,-9.52321715319697,-0.9499999999999957,10024.439108628434,10014.915891475237,0.78632665,1
15,2025-01-18 01:00:00,2025-01-18 01:00:00,261.97,265.89955,WIN,13.019390658917613,1.2999999999999805,10014.915891475237,10027.935282134154,0.9103477,1
16,2025-01-19 01:00:00,2025-01-19 01:00:00,252.42,256.20629999999994,WIN,13.03631586677422,1.299999999999982,10027.935282134154,10040.97159800093,0.9602366,1
17,2025-01-20 01:00:00,2025-01-20 01:00:00,242.19,245.82284999999996,WIN,13.053263077401052,1.2999999999999843,10040.97159800093,10054.024861078331,0.9479747,1
18,2025-01-21 01:00:00,2025-01-21 01:00:00,250.33,254.08495,WIN,13.070232319401748,1.2999999999999918,10054.024861078331,10067.095093397733,0.88393706,1
19,2025-01-22 01:00:00,2025-01-22 01:00:00,257.36,261.2204,WIN,13.087223621416936,1.2999999999999883,10067.095093397733,10080.18231701915,0.66223663,1
20,2025-01-23 01:00:00,2025-01-23 01:00:00,253.11,256.90665,WIN,13.104237012124893,1.2999999999999998,10080.18231701915,10093.286554031274,0.80832213,1
21,2025-01-24 01:00:00,2025-01-24 01:00:00,253.37,257.17055,WIN,13.121272520240606,1.299999999999995,10093.286554031274,10106.407826551515,0.7496317,1
22,2025-01-25 01:00:00,2025-01-25 01:00:00,256.41,260.25615,WIN,13.138330174516836,1.2999999999999867,10106.407826551515,10119.546156726032,0.78878695,1
23,2025-01-26 01:00:00,2025-01-26 01:00:00,240.5,244.1075,WIN,13.155410003743789,1.2999999999999947,10119.546156726032,10132.701566729776,0.8002966,1
24,2025-01-27 01:00:00,2025-01-27 01:00:00,234.89,238.41334999999995,WIN,13.17251203674856,1.2999999999999852,10132.701566729776,10145.874078766525,0.9350385,1
25,2025-01-28 01:00:00,2025-01-28 01:00:00,227.06,230.46589999999998,WIN,13.189636302396368,1.2999999999999887,10145.874078766525,10159.063715068922,0.9284122,1
26,2025-01-29 01:00:00,2025-01-29 01:00:00,228.16,231.58239999999998,WIN,13.206782829589521,1.2999999999999923,10159.063715068922,10172.270497898511,0.65679437,1
27,2025-01-30 01:00:00,2025-01-30 01:00:00,238.31,241.88464999999997,WIN,13.223951647267906,1.2999999999999843,10172.270497898511,10185.494449545778,0.86501193,1
28,2025-01-31 01:00:00,2025-01-31 01:00:00,231.77,235.24654999999998,WIN,13.241142784409403,1.2999999999999892,10185.494449545778,10198.735592330188,0.8463896,1
29,2025-02-01 01:00:00,2025-02-01 01:00:00,213.03,216.22544999999997,WIN,13.25835627002908,1.2999999999999838,10198.735592330188,10211.993948600217,0.95983326,1
30,2025-02-02 01:00:00,2025-02-02 01:00:00,203.51,206.56264999999996,WIN,13.27559213318014,1.299999999999986,10211.993948600217,10225.269540733398,0.8455951,1
31,2025-02-03 01:00:00,2025-02-03 01:00:00,216.28,214.6579,LOSE,-9.714006063696674,-0.9499999999999948,10225.269540733398,10215.5555346697,0.80997926,1
32,2025-02-04 01:00:00,2025-02-04 01:00:00,206.64,209.73959999999997,WIN,13.280222195070518,1.299999999999991,10215.5555346697,10228.83575686477,0.85502917,1
33,2025-02-05 01:00:00,2025-02-05 01:00:00,196.12,199.06179999999998,WIN,13.297486483924057,1.2999999999999858,10228.83575686477,10242.133243348693,0.9509996,1
34,2025-02-06 01:00:00,2025-02-06 01:00:00,189.54,192.38309999999998,WIN,13.314773216353265,1.2999999999999963,10242.133243348693,10255.448016565046,0.9646846,1
35,2025-02-07 01:00:00,2025-02-07 01:00:00,191.99,194.86984999999999,WIN,13.332082421534434,1.2999999999999876,10255.448016565046,10268.780098986581,0.92106915,1
