,entry_time,exit_time,direction,entry_price,exit_price,tp,sl,result,pnl,pnl_pct,capital_after,confidence,predicted_magnitude,hold_periods
36,2025-07-07 02:00:00,2025-07-07 02:00:00,SELL,108262.94,107794.71220067979,107794.71220067979,108481.45060833216,WIN,2.3199764324506127,0.23249130249022898,9981.086526411735,0.44411257,-0.57665765,1
37,2025-07-08 02:00:00,2025-07-08 02:00:00,SELL,108922.98,108451.89758508682,108451.89758508682,109142.82278850317,WIN,2.3205158067932197,0.23249130249023703,9983.407042218529,0.4441678,-0.57665765,1
38,2025-07-09 02:00:00,2025-07-09 02:00:00,SELL,111233.99,111186.10768890739,111186.10768890739,111256.33331049324,WIN,-1.566930932209122,-0.15695352554321135,9981.84011128632,0.45213506,0.057395615,1
39,2025-07-10 02:00:00,2025-07-10 02:00:00,SELL,116010.0,115382.04527020454,115382.04527020454,116303.04646253586,WIN,3.4067383564551266,0.3412936210632324,9985.246849642774,0.42218176,0.72172135,1
40,2025-07-13 02:00:00,2025-07-13 02:00:00,SELL,119086.64,118957.07097456932,118957.07097456932,119147.10175953865,WIN,-0.9106313611636675,-0.09119768142699904,9984.33621828161,0.41124603,0.14507143,1
41,2025-07-14 02:00:00,2025-07-14 02:00:00,SELL,119841.18,119837.30844469785,119837.30844469785,119842.99434510469,WIN,-1.9646121291586993,-0.19676942825317092,9982.371606152452,0.42255944,0.0043096337,1
42,2025-07-15 02:00:00,2025-07-15 02:00:00,SELL,117758.09,117581.74642469168,117581.74642469168,117840.37992504834,WIN,-0.5016070903802304,-0.050249290466313046,9981.869999062072,0.41137543,0.19966929,1
43,2025-07-16 02:00:00,2025-07-16 02:00:00,SELL,118630.43,118452.78008935212,118452.78008935212,118713.32952047586,WIN,-0.5015818849797673,-0.05024929046630516,9981.368417177091,0.40964597,0.19966929,1
44,2025-07-17 02:00:00,2025-07-17 02:00:00,SELL,119177.56,119041.7261821413,119041.7261821413,119240.95195641517,WIN,-0.8586372193565981,-0.08602399826049463,9980.509779957734,0.41122112,0.1519701,1
45,2025-07-18 02:00:00,2025-07-18 02:00:00,SELL,117924.84,117831.5669190073,117831.5669190073,117968.36275188446,WIN,-1.2066899058633058,-0.12090463638305418,9979.303090051872,0.40445697,0.105459854,1
46,2025-07-19 02:00:00,2025-07-19 02:00:00,SELL,117840.0,117746.7940235138,117746.7940235138,117883.49143981934,WIN,-1.2065440114590351,-0.12090463638305665,9978.096546040413,0.40246567,0.105459854,1
47,2025-07-20 02:00:00,2025-07-20 02:00:00,SELL,117265.12,117108.91762996673,117108.91762996673,117338.02096292496,WIN,-0.6664923455276248,-0.06679553985595654,9977.430053694885,0.40042865,0.17760552,1
48,2025-07-22 02:00:00,2025-07-22 02:00:00,SELL,119954.42,119619.1425250566,119619.1425250566,120110.88711154461,WIN,0.7932462050703627,0.07950406074524213,9978.223299899955,0.4108174,0.37267384,1
49,2025-07-23 02:00:00,2025-07-23 02:00:00,SELL,118755.99,118424.06218557179,118424.06218557179,118910.89389377832,WIN,0.793309271364842,0.07950406074524269,9979.01660917132,0.4075792,0.37267384,1
50,2025-07-24 02:00:00,2025-07-24 02:00:00,SELL,118340.99,118147.88160327733,118147.88160327733,118431.10772204876,WIN,-0.36743102389590804,-0.036820363998414096,9978.649178147423,0.40179974,-0.21757203,1
51,2025-08-08 02:00:00,2025-08-08 02:00:00,SELL,116674.74,116620.50297418714,116620.50297418714,116700.05385741235,WIN,-1.5318657181240978,-0.15351433753967236,9977.1173124293,0.40184364,0.061982147,1
52,2025-08-10 02:00:00,2025-08-10 02:00:00,SELL,119294.01,119232.54703603506,119232.54703603506,119322.69366458058,WIN,-1.481379880710231,-0.1484777450561553,9975.63593254859,0.40064257,-0.0686974,1
53,2025-08-13 02:00:00,2025-08-13 02:00:00,SELL,123306.43,123148.51572179198,123148.51572179198,123380.11745012163,WIN,-0.7175820106787733,-0.07193346023559666,9974.918350537911,0.42172882,-0.17075694,1
54,2025-09-18 02:00:00,2025-09-18 02:00:00,SELL,117073.53,116910.36745393396,116910.36745393396,117149.67531274796,WIN,-0.6048034347677376,-0.06063241958618365,9974.313547103144,0.40609315,-0.18582202,1
55,2025-09-19 02:00:00,2025-09-19 02:00:00,SELL,115632.38,115471.2259498191,115471.2259498191,115707.58798030854,WIN,-0.6047667640721388,-0.060632419586186176,9973.708780339071,0.41869166,-0.18582202,1
56,2025-09-20 02:00:00,2025-09-20 02:00:00,SELL,115685.63,115524.40173658253,115524.40173658253,115760.87261442185,WIN,-0.6047300955999477,-0.060632419586186176,9973.104050243472,0.4176082,-0.18582202,1
57,2025-09-21 02:00:00,2025-09-21 02:00:00,SELL,115232.29,115295.47909335136,115096.87302559614,115295.47909335136,LOSS,-2.5415086683336443,-0.2548362731933594,9970.562541575138,0.41983798,-0.1566888,1
58,2025-09-22 02:00:00,2025-09-22 02:00:00,SELL,112650.99,112388.44546579421,112388.44546579421,112773.51660188199,WIN,0.3296280094092991,0.033060121536254344,9970.892169584547,0.4133971,-0.31074986,1
59,2025-09-23 02:00:00,2025-09-23 02:00:00,SELL,111998.8,111717.49483988286,111717.49483988286,112130.08330712319,WIN,0.5101907363561493,0.051168012619015935,9971.402360320904,0.4060268,-0.33489403,1
60,2025-09-24 02:00:00,2025-09-24 02:00:00,SELL,113307.0,113022.40905994177,113022.40905994177,113439.81675946712,WIN,0.5102168418022113,0.051168012619018544,9971.912577162706,0.40349424,-0.33489403,1
61,2025-10-01 02:00:00,2025-10-01 02:00:00,SELL,118594.99,117801.8975406766,117801.8975406766,118965.09887184262,WIN,4.674237018984553,0.46874027252197453,9976.58681418169,0.40012395,0.89165145,1
62,2025-10-02 02:00:00,2025-10-02 02:00:00,SELL,120529.35,120173.18342355789,120173.18342355789,120695.56154794694,WIN,0.9527834691889607,0.09550194740295165,9977.539597650879,0.4032154,0.39400077,1
63,2025-10-03 02:00:00,2025-10-03 02:00:00,SELL,122232.0,122160.87073659897,122160.87073659897,122265.19317054749,WIN,-1.4148947886515753,-0.14180798530578614,9976.124702862227,0.42071572,-0.07758747,1
64,2025-10-04 02:00:00,2025-10-04 02:00:00,SELL,122391.0,122319.7782112956,122319.7782112956,122424.23634839058,WIN,-1.4146941452721769,-0.14180798530578614,9974.710008716955,0.42265135,-0.07758747,1
65,2025-10-05 02:00:00,2025-10-05 02:00:00,SELL,123482.31,123381.7413309288,123381.7413309288,123529.23812016964,WIN,-1.1825638481861172,-0.11855621337890203,9973.527444868769,0.42127773,-0.10859275,1
66,2025-10-06 02:00:00,2025-10-06 02:00:00,SELL,124658.54,124645.0838571012,124645.0838571012,124664.8259728837,WIN,-1.8870472326655998,-0.18920559883117957,9971.640397636103,0.41915345,-0.014393571,1
67,2025-10-07 02:00:00,2025-10-07 02:00:00,SELL,121332.95,121200.41623267531,121200.41623267531,121394.79812715053,WIN,-0.9051111204854154,-0.09076852798462154,9970.735286515617,0.409504,-0.14564143,1
68,2025-10-08 02:00:00,2025-10-08 02:00:00,SELL,123306.0,123111.96293771267,123111.96293771267,123396.54719924927,WIN,-0.42512999094778303,-0.04263777732849122,9970.310156524669,0.4122184,0.20981272,1
69,2025-10-09 02:00:00,2025-10-09 02:00:00,SELL,121662.4,121522.6463142395,121522.6463142395,121727.62128734589,WIN,-0.8487717916337785,-0.0851299285888648,9969.461384733035,0.40373245,0.1531591,1
70,2025-10-26 02:00:00,2025-10-26 02:00:00,SELL,114559.4,114357.89768316745,114357.89768316745,114653.43896670341,WIN,-0.24033074764715803,-0.024106693267822277,9969.221053985388,0.40410393,0.2345245,1
71,2025-10-27 01:00:00,2025-10-27 01:00:00,SELL,114107.65,113906.94228118061,113906.94228118061,114201.31813634634,WIN,-0.24032495406754167,-0.024106693267822277,9968.98072903132,0.40334982,0.2345245,1
72,2026-01-01 01:00:00,2026-01-01 01:00:00,SELL,88839.04,88485.25050479888,88485.25050479888,89004.14494155883,WIN,1.9762159792612781,0.19823651313781865,9970.956945010581,0.410609,-0.5309838,1
73,2026-01-02 01:00:00,2026-01-02 01:00:00,SELL,89995.13,89870.43012207568,89870.43012207568,90053.32005788804,WIN,-0.6125865023470666,-0.06143708229064232,9970.344358508233,0.4208547,-0.18475087,1
74,2026-01-03 01:00:00,2026-01-03 01:00:00,SELL,90628.01,90502.43318508207,90502.43318508207,90686.60927251815,WIN,-0.6125488668198017,-0.06143708229065134,9969.731809641413,0.4156789,-0.18475087,1
75,2026-01-04 01:00:00,2026-01-04 01:00:00,SELL,91529.73,91457.9561653018,91457.9561653018,91563.22736584424,WIN,-1.2121611617637877,-0.12158412933350374,9968.519648479649,0.4161849,-0.10455502,1
76,2026-01-05 01:00:00,2026-01-05 01:00:00,SELL,93859.71,93832.84533261896,93832.84533261896,93872.24162326813,WIN,-1.7083834608410795,-0.1713778495788624,9966.811265018809,0.42190522,-0.03816281,1
77,2026-01-06 01:00:00,2026-01-06 01:00:00,SELL,93747.97,93721.13731500984,93721.13731500984,93760.4867043686,WIN,-1.7080906817572925,-0.17137784957886115,9965.103174337051,0.4244666,-0.03816281,1
