trade_id,entry_time,entry_idx,entry_price,prob_tp,prob_sl,confidence,exit_time,exit_price,exit_type,pnl_pct,bars_held,result
16,2025-02-15 01:00,45,"$2,693.04",52.18%,47.82%,4.4%,2025-02-16 01:00,"$2,672.84",SL,-0.75%,1,LOSS
17,2025-02-19 01:00,49,"$2,715.50",53.30%,46.70%,6.6%,2025-02-20 01:00,"$2,756.23",TP,+1.50%,1,WIN
18,2025-02-24 01:00,54,"$2,513.52",51.57%,48.43%,3.1%,2025-02-25 01:00,"$2,494.67",SL,-0.75%,1,LOSS
19,2025-02-26 01:00,56,"$2,336.37",54.60%,45.40%,9.2%,2025-02-27 01:00,"$2,371.42",TP,+1.50%,1,WIN
20,2025-02-28 01:00,58,"$2,237.59",54.81%,45.19%,9.6%,2025-03-01 01:00,"$2,271.15",TP,+1.50%,1,WIN
21,2025-03-02 01:00,60,"$2,518.11",55.19%,44.81%,10.4%,2025-03-03 01:00,"$2,499.22",SL,-0.75%,1,LOSS
22,2025-03-04 01:00,62,"$2,171.51",50.10%,49.90%,0.2%,2025-03-05 01:00,"$2,204.08",TP,+1.50%,1,WIN
23,2025-03-06 01:00,64,"$2,202.20",64.06%,35.94%,28.1%,2025-03-07 01:00,"$2,235.23",TP,+1.50%,1,WIN
24,2025-03-08 01:00,66,"$2,203.58",56.57%,43.43%,13.1%,2025-03-09 01:00,"$2,187.05",SL,-0.75%,1,LOSS
25,2025-03-10 01:00,68,"$1,865.10",52.39%,47.61%,4.8%,2025-03-11 01:00,"$1,893.08",TP,+1.50%,1,WIN
26,2025-03-12 01:00,70,"$1,908.20",58.35%,41.65%,16.7%,2025-03-13 01:00,"$1,893.89",SL,-0.75%,1,LOSS
27,2025-03-14 01:00,72,"$1,911.65",63.06%,36.94%,26.1%,2025-03-15 01:00,"$1,940.32",TP,+1.50%,1,WIN
28,2025-03-16 01:00,74,"$1,887.00",60.94%,39.06%,21.9%,2025-03-17 01:00,"$1,915.30",TP,+1.50%,1,WIN
29,2025-03-18 01:00,76,"$1,931.54",51.80%,48.20%,3.6%,2025-03-19 01:00,"$1,960.51",TP,+1.50%,1,WIN
30,2025-03-20 01:00,78,"$1,983.79",53.23%,46.77%,6.5%,2025-03-21 01:00,"$1,968.91",SL,-0.75%,1,LOSS
31,2025-03-22 01:00,80,"$1,980.69",53.19%,46.81%,6.4%,2025-03-23 01:00,"$2,010.40",TP,+1.50%,1,WIN
32,2025-03-24 01:00,82,"$2,081.20",58.25%,41.75%,16.5%,2025-03-25 01:00,"$2,065.59",SL,-0.75%,1,LOSS
33,2025-03-30 01:00,88,"$1,807.74",58.02%,41.98%,16.0%,2025-03-31 02:00,"$1,834.86",TP,+1.50%,1,WIN
