trade_id,entry_time,entry_idx,entry_price,prob_tp,prob_sl,confidence,exit_time,exit_price,exit_type,pnl_pct,bars_held,result
39,2025-04-28 02:00,117,$147.84,52.33%,47.67%,4.7%,2025-04-29 02:00,$150.06,TP,+1.50%,1,WIN
40,2025-05-01 02:00,120,$150.85,66.04%,33.96%,32.1%,2025-05-02 02:00,$149.72,SL,-0.75%,1,LOSS
41,2025-05-04 02:00,123,$143.95,56.50%,43.50%,13.0%,2025-05-05 02:00,$146.11,TP,+1.50%,1,WIN
42,2025-05-06 02:00,125,$146.88,59.60%,40.40%,19.2%,2025-05-07 02:00,$149.08,TP,+1.50%,1,WIN
43,2025-05-08 02:00,127,$164.46,88.36%,11.64%,76.7%,2025-05-09 02:00,$166.93,TP,+1.50%,1,WIN
44,2025-05-10 02:00,129,$177.89,84.91%,15.09%,69.8%,2025-05-11 02:00,$176.56,SL,-0.75%,1,LOSS
45,2025-05-12 02:00,131,$174.22,81.26%,18.74%,62.5%,2025-05-13 02:00,$176.83,TP,+1.50%,1,WIN
46,2025-05-15 02:00,134,$169.16,54.90%,45.10%,9.8%,2025-05-16 02:00,$171.70,TP,+1.50%,1,WIN
47,2025-05-19 02:00,138,$166.86,55.11%,44.89%,10.2%,2025-05-20 02:00,$169.36,TP,+1.50%,1,WIN
48,2025-05-21 02:00,140,$173.53,66.41%,33.59%,32.8%,2025-05-22 02:00,$176.13,TP,+1.50%,1,WIN
49,2025-05-24 02:00,143,$175.87,52.81%,47.19%,5.6%,2025-05-25 02:00,$174.55,SL,-0.75%,1,LOSS
50,2025-05-30 02:00,149,$156.20,60.03%,39.97%,20.1%,2025-05-31 02:00,$155.03,SL,-0.75%,1,LOSS
51,2025-06-05 02:00,155,$144.29,74.44%,25.56%,48.9%,2025-06-06 02:00,$146.45,TP,+1.50%,1,WIN
52,2025-06-10 02:00,160,$165.12,71.33%,28.67%,42.7%,2025-06-11 02:00,$167.60,TP,+1.50%,1,WIN
53,2025-06-14 02:00,164,$144.64,61.92%,38.08%,23.8%,2025-06-15 02:00,$146.81,TP,+1.50%,1,WIN
54,2025-06-21 02:00,171,$135.43,72.81%,27.19%,45.6%,2025-06-22 02:00,$137.46,TP,+1.50%,1,WIN
55,2025-06-26 02:00,176,$139.06,75.66%,24.34%,51.3%,2025-06-27 02:00,$141.15,TP,+1.50%,1,WIN
56,2025-06-28 02:00,178,$150.72,51.72%,48.28%,3.4%,2025-06-29 02:00,$152.98,TP,+1.50%,1,WIN
57,2025-07-05 02:00,185,$147.55,56.02%,43.98%,12.0%,2025-07-06 02:00,$149.76,TP,+1.50%,1,WIN
58,2025-07-07 02:00,187,$148.88,59.48%,40.52%,19.0%,2025-07-08 02:00,$151.11,TP,+1.50%,1,WIN
59,2025-07-09 02:00,189,$157.05,58.28%,41.72%,16.6%,2025-07-10 02:00,$159.41,TP,+1.50%,1,WIN
60,2025-07-11 02:00,191,$162.93,84.43%,15.57%,68.9%,2025-07-12 02:00,$161.71,SL,-0.75%,1,LOSS
61,2025-07-13 02:00,193,$161.15,61.70%,38.30%,23.4%,2025-07-14 02:00,$163.57,TP,+1.50%,1,WIN
62,2025-07-16 02:00,196,$173.63,70.50%,29.50%,41.0%,2025-07-17 02:00,$176.23,TP,+1.50%,1,WIN
63,2025-07-18 02:00,198,$177.28,61.77%,38.23%,23.5%,2025-07-19 02:00,$175.95,SL,-0.75%,1,LOSS
64,2025-07-21 02:00,201,$195.72,55.51%,44.49%,11.0%,2025-07-22 02:00,$198.66,TP,+1.50%,1,WIN
65,2025-07-24 02:00,204,$182.87,55.46%,44.54%,10.9%,2025-07-25 02:00,$185.61,TP,+1.50%,1,WIN
66,2025-07-31 02:00,211,$172.22,55.76%,44.24%,11.5%,2025-08-01 02:00,$170.93,SL,-0.75%,1,LOSS
67,2025-08-02 02:00,213,$158.48,51.09%,48.91%,2.2%,2025-08-03 02:00,$160.86,TP,+1.50%,1,WIN
68,2025-08-04 02:00,215,$169.55,53.26%,46.74%,6.5%,2025-08-05 02:00,$168.28,SL,-0.75%,1,LOSS
