trade_id,entry_time,entry_idx,entry_price,prob_tp,prob_sl,confidence,exit_time,exit_price,exit_type,pnl_pct,bars_held,result
36,2025-05-28 02:00,147,"$107,781.78",60.81%,39.19%,21.6%,2025-05-29 02:00,"$106,973.42",SL,-0.75%,1,LOSS
37,2025-06-02 02:00,152,"$105,857.99",51.68%,48.32%,3.4%,2025-06-03 02:00,"$105,064.06",SL,-0.75%,1,LOSS
38,2025-06-04 02:00,154,"$104,696.86",71.04%,28.96%,42.1%,2025-06-05 02:00,"$103,911.63",SL,-0.75%,1,LOSS
39,2025-06-10 02:00,160,"$110,274.39",51.63%,48.37%,3.3%,2025-06-11 02:00,"$109,447.33",SL,-0.75%,1,LOSS
40,2025-06-16 02:00,166,"$106,794.53",52.29%,47.71%,4.6%,2025-06-17 02:00,"$105,993.57",SL,-0.75%,1,LOSS
41,2025-06-20 02:00,170,"$103,297.99",51.25%,48.75%,2.5%,2025-06-21 02:00,"$102,523.26",SL,-0.75%,1,LOSS
42,2025-06-30 02:00,180,"$107,146.50",66.80%,33.20%,33.6%,2025-07-01 02:00,"$106,342.90",SL,-0.75%,1,LOSS
43,2025-07-07 02:00,187,"$108,262.94",55.43%,44.57%,10.9%,2025-07-08 02:00,"$107,450.97",SL,-0.75%,1,LOSS
44,2025-07-10 02:00,190,"$116,010.00",63.59%,36.41%,27.2%,2025-07-11 02:00,"$117,750.15",TP,+1.50%,1,WIN
45,2025-07-13 02:00,193,"$119,086.64",52.12%,47.88%,4.2%,2025-07-14 02:00,"$120,872.94",TP,+1.50%,1,WIN
46,2025-07-15 02:00,195,"$117,758.09",57.79%,42.21%,15.6%,2025-07-16 02:00,"$119,524.46",TP,+1.50%,1,WIN
47,2025-07-20 02:00,200,"$117,265.12",61.09%,38.91%,22.2%,2025-07-21 02:00,"$119,024.10",TP,+1.50%,1,WIN
48,2025-07-25 02:00,205,"$117,614.31",53.78%,46.22%,7.6%,2025-07-27 02:00,"$119,378.52",TP,+1.50%,2,WIN
49,2025-07-28 02:00,208,"$118,062.32",56.00%,44.00%,12.0%,2025-07-29 02:00,"$117,176.85",SL,-0.75%,1,LOSS
50,2025-07-31 02:00,211,"$115,764.08",53.90%,46.10%,7.8%,2025-08-01 02:00,"$114,895.85",SL,-0.75%,1,LOSS
51,2025-08-05 02:00,216,"$114,129.75",71.07%,28.93%,42.1%,2025-08-07 02:00,"$115,841.70",TP,+1.50%,2,WIN
52,2025-08-11 02:00,222,"$118,686.00",51.06%,48.94%,2.1%,2025-08-13 02:00,"$120,466.29",TP,+1.50%,2,WIN
53,2025-08-19 02:00,230,"$112,872.94",75.94%,24.06%,51.9%,2025-08-20 02:00,"$114,566.03",TP,+1.50%,1,WIN
54,2025-08-25 02:00,236,"$110,111.98",52.67%,47.33%,5.3%,2025-08-26 02:00,"$111,763.66",TP,+1.50%,1,WIN
55,2025-08-29 02:00,240,"$108,377.40",50.93%,49.07%,1.9%,2025-08-30 02:00,"$107,564.57",SL,-0.75%,1,LOSS
56,2025-08-31 02:00,242,"$108,246.35",52.74%,47.26%,5.5%,2025-09-01 02:00,"$109,870.05",TP,+1.50%,1,WIN
57,2025-09-04 02:00,246,"$110,730.87",55.18%,44.82%,10.4%,2025-09-05 02:00,"$112,391.83",TP,+1.50%,1,WIN
58,2025-09-23 02:00,265,"$111,998.80",60.03%,39.97%,20.1%,2025-09-24 02:00,"$113,678.78",TP,+1.50%,1,WIN
59,2025-09-26 02:00,268,"$109,643.46",58.69%,41.31%,17.4%,2025-09-28 02:00,"$111,288.11",TP,+1.50%,2,WIN
60,2025-10-03 02:00,275,"$122,232.00",52.26%,47.74%,4.5%,2025-10-05 02:00,"$124,065.48",TP,+1.50%,2,WIN
61,2025-10-06 02:00,278,"$124,658.54",51.04%,48.96%,2.1%,2025-10-07 02:00,"$123,723.60",SL,-0.75%,1,LOSS
62,2025-10-09 02:00,281,"$121,662.40",57.35%,42.65%,14.7%,2025-10-10 02:00,"$120,749.93",SL,-0.75%,1,LOSS
63,2025-10-11 02:00,283,"$110,644.40",61.32%,38.68%,22.6%,2025-10-12 02:00,"$112,304.07",TP,+1.50%,1,WIN
64,2025-10-14 02:00,286,"$113,028.14",58.47%,41.53%,16.9%,2025-10-15 02:00,"$112,180.43",SL,-0.75%,1,LOSS
65,2025-10-16 02:00,288,"$108,194.28",72.24%,27.76%,44.5%,2025-10-17 02:00,"$107,382.82",SL,-0.75%,1,LOSS
66,2025-10-18 02:00,290,"$107,185.01",50.99%,49.01%,2.0%,2025-10-19 02:00,"$108,792.79",TP,+1.50%,1,WIN
67,2025-10-21 02:00,293,"$108,297.67",70.46%,29.54%,40.9%,2025-10-22 02:00,"$107,485.44",SL,-0.75%,1,LOSS
68,2025-10-23 02:00,295,"$110,078.18",50.78%,49.22%,1.6%,2025-10-24 02:00,"$111,729.35",TP,+1.50%,1,WIN
69,2025-10-26 02:00,298,"$114,559.40",51.06%,48.94%,2.1%,2025-10-27 01:00,"$116,277.79",TP,+1.50%,1,WIN
70,2025-11-02 01:00,305,"$110,540.68",51.82%,48.18%,3.6%,2025-11-03 01:00,"$109,711.62",SL,-0.75%,1,LOSS
71,2025-11-04 01:00,307,"$101,497.22",61.91%,38.09%,23.8%,2025-11-05 01:00,"$103,019.68",TP,+1.50%,1,WIN
